step,target,total_dv_ms,hohmann_sum_ms,inc_sum_ms,raan_residual_ms,drift_alt_km,drift_inc_deg,drift_time_days,raan_gap_initial_deg,raan_residual_deg,cumulative_spent_ms
1,NOAA 17 DEB,3.940,3.924,0.016,0.000,676.32,97.9999,167.76,-10.1817,-0.0000,3.940
2,FENGYUN 1C DEB,5.237,3.924,1.313,0.000,676.32,97.9950,15.17,-2.3538,0.0000,9.177
3,DELTA 1 DEB,5.782,3.924,1.858,0.000,676.32,98.0071,238.97,-18.3264,0.0000,14.959
4,DELTA 1 DEB,4.544,3.924,0.619,0.000,676.32,98.0024,157.59,1.8304,0.0000,19.503
5,DELTA 1 DEB,4.834,3.924,0.910,0.000,676.32,97.9965,86.38,2.1807,0.0000,24.337
6,STRIX-BETA DEB,4.619,3.924,0.695,0.000,676.32,97.9974,289.83,-8.3841,0.0000,28.956
7,SL-24 DEB,11.080,3.924,7.156,0.000,676.32,98.0273,300.00,3.0389,0.0000,40.036
8,DELTA 1 DEB,30.311,3.924,26.387,0.000,676.32,98.1006,300.00,7.6877,0.0000,70.347
9,DELTA 1 DEB,40.576,7.280,33.297,0.000,686.84,97.8730,300.00,-6.6287,0.0000,110.924
10,DELTA 1 DEB,7.570,7.280,0.291,0.000,686.84,97.9989,289.83,-5.7397,0.0000,118.494
11,COSMOS 2535 DEB,77.333,37.686,39.646,0.000,644.74,98.1509,300.00,12.6735,0.0000,195.827
12,CZ-4C DEB,89.220,48.991,40.229,0.000,634.21,98.1531,300.00,16.1619,0.0000,285.047
13,COSMOS 2535 DEB,77.989,37.686,40.303,0.000,644.74,98.1534,300.00,12.6164,0.0000,363.036
