step,target,total_dv_ms,hohmann_sum_ms,inc_sum_ms,raan_residual_ms,drift_alt_km,drift_inc_deg,drift_time_days,raan_gap_initial_deg,raan_residual_deg,cumulative_spent_ms
1,THORAD AGENA D DEB,4.819,3.924,0.895,0.000,676.32,98.0034,96.55,-23.2626,0.0000,4.819
2,NOAA 17 DEB,4.884,3.924,0.959,0.000,676.32,97.9963,45.69,-2.7671,0.0000,9.703
3,PSLV DEB,6.653,3.924,2.728,0.000,676.32,98.0104,66.03,4.5425,0.0000,16.356
4,CZ-4 DEB,7.841,7.280,0.561,0.000,686.84,97.9979,45.69,-1.6525,0.0000,24.197
5,FENGYUN 1C DEB,8.459,7.280,1.179,0.000,686.84,98.0045,177.93,-26.0523,0.0000,32.656
6,FENGYUN 1C DEB,9.084,7.280,1.804,0.000,686.84,98.0069,208.45,-35.7239,-0.0000,41.740
7,FENGYUN 1C DEB,9.456,7.280,2.176,0.000,686.84,97.9917,177.93,-28.5765,0.0000,51.196
8,FENGYUN 1C DEB,9.500,7.280,2.221,0.000,686.84,97.9915,147.41,-17.0889,-0.0000,60.696
9,FENGYUN 1C DEB,10.493,3.924,6.569,0.000,676.32,97.9750,25.34,-3.3306,0.0000,71.189
10,FENGYUN 1C DEB,11.862,7.280,4.582,0.000,686.84,97.9825,137.24,-25.0908,0.0000,83.051
11,DMSP 5D-2 F11 DEB,13.732,3.924,9.808,0.000,676.32,98.0374,5.00,-0.0886,0.0000,96.783
12,NOAA 16 DEB,17.031,7.280,9.751,0.000,686.84,97.9628,147.41,-23.3762,0.0000,113.813
13,NOAA 16 DEB,19.859,7.280,12.580,0.000,686.84,97.9520,76.21,-12.9099,0.0000,133.673
14,FENGYUN 1C DEB,19.885,7.280,12.605,0.000,686.84,97.9519,177.93,-37.0402,0.0000,153.558
15,FENGYUN 1C DEB,22.296,7.280,15.016,0.000,686.84,97.9427,208.45,-31.9352,0.0000,175.853
16,DELTA 1 DEB,23.981,7.280,16.702,0.000,686.84,97.9363,137.24,-13.5240,0.0000,199.835
17,NOAA 16 DEB,41.008,7.280,33.728,0.000,686.84,97.8714,208.45,-30.2427,0.0000,240.842
18,NOAA 17 DEB,53.760,7.280,46.480,0.000,686.84,97.8228,116.90,-10.1817,-0.0000,294.602
19,FENGYUN 1C DEB,59.392,7.280,52.112,0.000,686.84,97.8013,198.28,-26.2490,-0.0000,353.994
20,NOAA 16 DEB,89.569,7.280,82.289,0.000,686.84,97.6862,228.79,-37.1029,0.0000,443.563
